GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
POPGROUP.id,Id
POPGROUP.display-label,Population Group
Est Median gross rent,Estimate; Median gross rent
HD02_VD01,Margin of Error; Median gross rent
