GEO.id,GEO.id2,GEO.display-label,POPGROUP.id,POPGROUP.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Id,Population Group,Estimate; Median gross rent,Margin of Error; Median gross rent
1400000US50007003301,50007003301,"Census Tract 33.01, Chittenden County, Vermont",001,Total population,"$2,000+",$***
